""	"lconc_bget"	"ld13C_acetylene"	"le_Mo"	"le_V"
"1"	1.95336365370763	15.0169307179798	14.1250482088224	7.53650752389225
"2"	2.4480236136991	15.0551233296101	13.4161735938409	7.16677355879883
"3"	2.63076522723988	15.8639899741837	12.9728384850341	8.17358289439575
"4"	2.43418688259388	15.806755276077	13.1217173177228	7.55988662212896
"5"	1.62244761741679	15.6777699674761	13.2518271245575	7.79330556904738
"6"	2.04551794973509	14.9056131773423	13.9442130406212	8.12741873735733
"7"	2.35609131409353	15.7365881773686	13.7358548586207	8.50786525435887
"8"	1.95249043079472	14.9450217519127	13.5456013963627	7.58132757615482
"9"	2.2983159638562	15.0513182629328	14.8140503992017	8.14957012600929
"10"	2.57200632765839	13.6395049341535	13.9425178589888	8.16891582119135
"11"	2.26879039766218	14.8949656806928	13.348848800777	7.13577810062336
"12"	2.07148208667811	16.0655397548358	13.5600800732845	7.69084133168343
"13"	2.19070258688859	13.4853318696163	14.1421544972648	8.95501121681868
"14"	1.81587010666077	15.2344106320952	13.1598781942388	7.55287257009669
"15"	2.12277545386111	14.8480136213122	13.2170745634737	6.36046020320416
"16"	2.20135823926338	15.6914861558414	12.8901324042256	7.36622945232499
"17"	2.13503207239448	14.8079185721786	13.2877263209598	6.92083662265469
"18"	1.91148486409917	13.4933613456787	13.8494574113458	8.96055657762624
"19"	2.14588417489104	14.3267662589227	14.8514443872815	7.38034444647951
"20"	2.06109074131827	14.7253045155611	13.7481805937548	7.11204965232657
"21"	2.04731876997348	13.550192114488	13.270956406466	8.26338327655357
"22"	2.2781758863623	14.0255395722559	14.5475547737306	7.82336254507596
"23"	2.28110263732707	14.9910420443859	13.2371746312459	7.92793154403885
"24"	2.10097730588352	14.3323926819382	14.3735666300656	7.76872223108668
"25"	2.33336645979699	14.8892022797959	13.5988007127811	7.82230653969342
"26"	2.13114927319091	15.5173848187535	13.8106755338135	7.28400721916452
"27"	2.32517030119304	15.5657677751644	14.4628793769662	7.90319923012911
"28"	2.16320880369668	15.0299383995965	13.1969273643947	8.16785751939489
"29"	2.57335453637887	14.6905113161695	14.057914630585	7.44211800553609
"30"	1.68754864163259	15.1086181643446	13.2329124391685	8.52195231888033
